0,1
"What is fifty-nine billion, three hundred and thirty-nine million, six hundred and fifty-two thousand, six hundred and thirty-nine plus thirty-one billion, seventy-nine million, three hundred and thirty-two thousand, nine hundred and fifty-nine?","ninety billion, four hundred and eighteen million, nine hundred and eighty-five thousand, five hundred and ninety-eight"
"What is twenty-four million, six hundred and thirty-five thousand, five hundred and seventy-seven plus thirty-two million, seventeen thousand, three hundred and fifty?","fifty-six million, six hundred and fifty-two thousand, nine hundred and twenty-seven"
"What is nineteen billion, forty-three million, eight hundred and forty-one thousand, nine hundred and thirty-four plus seventy-three billion, three hundred and ninety million, one hundred and seventy-seven thousand and fifty-eight?","ninety-two billion, four hundred and thirty-four million, eighteen thousand, nine hundred and ninety-two"
"What is two million, eight hundred and thirty-two thousand, seven hundred and eleven plus nine million, seven hundred and seventy-seven thousand, five hundred and forty-five?","twelve million, six hundred and ten thousand, two hundred and fifty-six"
"What is seven hundred and forty-eight billion, four hundred and forty-three million, seven hundred and eighty-one thousand, one hundred and twenty-six plus one hundred and twenty-eight billion, six hundred and forty-five million, eight hundred and thirty-six thousand, five hundred and fifty-one?","eight hundred and seventy-seven billion, eighty-nine million, six hundred and seventeen thousand, six hundred and seventy-seven"
"What is seven hundred and seventy-three trillion, nine hundred and sixteen billion, four hundred and sixty-nine million, one hundred and fifty thousand and thirty-five plus eight hundred and ninety-one trillion, six hundred and fifty-two billion, four hundred and seventy million, seven hundred and thirty-one thousand, six hundred and sixty-nine?","one quadrillion, six hundred and sixty-five trillion, five hundred and sixty-eight billion, nine hundred and thirty-nine million, eight hundred and eighty-one thousand, seven hundred and four"
"What is one thousand, two hundred and forty-four plus nine thousand, five hundred and eighty-two?","ten thousand, eight hundred and twenty-six"
"What is seven billion, nine hundred and forty-five million, five hundred and eighty-three thousand, five hundred and ninety-two plus six billion, seven hundred and eighty-nine million, two hundred and sixteen thousand, four hundred and eighty-three?","fourteen billion, seven hundred and thirty-four million, eight hundred thousand and seventy-five"
"What is four billion, four hundred and forty-five million, four hundred and one thousand, six hundred and sixty plus six billion, eight hundred and ninety-nine million, five hundred and thirty-six thousand, seven hundred and seventy-one?","eleven billion, three hundred and forty-four million, nine hundred and thirty-eight thousand, four hundred and thirty-one"
"What is thirty-two billion, seven hundred and fifty-one million, five hundred and five thousand, one hundred and thirty-three plus twenty-eight billion, three hundred and eighty-one million, two hundred and fifty thousand, five hundred and ninety-seven?","sixty-one billion, one hundred and thirty-two million, seven hundred and fifty-five thousand, seven hundred and thirty"
"What is seven hundred and forty-eight trillion, nine hundred and eighty-one billion, eighty-six million, two hundred and fifty-seven thousand, five hundred and fifty-four plus four hundred and twenty-four trillion, nine hundred and thirteen billion, six hundred and forty-one million, four hundred and eight thousand, eight hundred and thirty-four?","one quadrillion, one hundred and seventy-three trillion, eight hundred and ninety-four billion, seven hundred and twenty-seven million, six hundred and sixty-six thousand, three hundred and eighty-eight"
"What is eight trillion, three hundred and eighty-five billion, five hundred and ninety-one million, eight hundred and sixty-nine thousand, one hundred and nineteen plus eight trillion, nine hundred and thirty-two billion, seven hundred and eighty million, seven hundred and ten thousand, nine hundred and ninety-six?","seventeen trillion, three hundred and eighteen billion, three hundred and seventy-two million, five hundred and eighty thousand, one hundred and fifteen"
"What is eighty-two million, two hundred and eighty-six thousand, seven hundred and fifty-eight plus fifty-nine million, six thousand, four hundred and eighty?","one hundred and forty-one million, two hundred and ninety-three thousand, two hundred and thirty-eight"
What is forty-eight plus fifty-eight?,one hundred and six
"What is four thousand, two hundred and thirteen plus one thousand, six hundred and five?","five thousand, eight hundred and eighteen"
What is eighty plus ninety-five?,one hundred and seventy-five
What is one hundred and eighty plus nine hundred and eighty-four?,"one thousand, one hundred and sixty-four"
"What is eight trillion, nine billion, two hundred and ninety-one million, eight hundred and four thousand, one hundred and thirty-eight plus three trillion, six hundred and twenty-six billion, two hundred and forty-two million, eight hundred and three thousand, seven hundred and sixty-eight?","eleven trillion, six hundred and thirty-five billion, five hundred and thirty-four million, six hundred and seven thousand, nine hundred and six"
"What is five hundred and twenty-four trillion, ninety-five billion, one hundred and forty-five million, eight hundred and sixty-nine thousand, one hundred and sixty-two plus six hundred and ninety-three trillion, six hundred and twelve billion, one hundred and ninety-one million, nine hundred and twenty-seven thousand, five hundred and twenty-eight?","one quadrillion, two hundred and seventeen trillion, seven hundred and seven billion, three hundred and thirty-seven million, seven hundred and ninety-six thousand, six hundred and ninety"
"What is five hundred and eighty-seven billion, nine hundred and forty-five million, seven hundred and seventy-seven thousand, seven hundred and seventy-nine plus five hundred and five billion, eight hundred and fifty-nine million, seven hundred and ninety-five thousand, eight hundred and thirty-four?","one trillion, ninety-three billion, eight hundred and five million, five hundred and seventy-three thousand, six hundred and thirteen"
"What is forty-nine trillion, eighty-four billion, two hundred and sixty-seven million, seven hundred and twenty-seven thousand, four hundred and twenty-three plus sixty-seven trillion, fifty-one billion, four hundred and fifty-five million, seven hundred and forty-one thousand, two hundred and sixty?","one hundred and sixteen trillion, one hundred and thirty-five billion, seven hundred and twenty-three million, four hundred and sixty-eight thousand, six hundred and eighty-three"
"What is twenty-nine billion, four hundred and fifty-two million, fifty-three thousand, one hundred and four plus seventy-nine billion, four hundred and seventy-two million, three hundred and eighty-two thousand and five?","one hundred and eight billion, nine hundred and twenty-four million, four hundred and thirty-five thousand, one hundred and nine"
"What is seven thousand, one hundred and fifty-six plus seven thousand, two hundred and sixty-four?","fourteen thousand, four hundred and twenty"
What is forty-seven plus sixty-six?,one hundred and thirteen
"What is five million, six hundred and thirty-one thousand and ninety-nine plus six million, five hundred and forty-four thousand, one hundred and ninety-four?","twelve million, one hundred and seventy-five thousand, two hundred and ninety-three"
"What is four hundred and seventy-five billion, nine hundred and two million, nine hundred and thirty-four thousand, four hundred and twenty-nine plus nine hundred and forty-nine billion, three hundred and sixteen million, two hundred and fifty-three thousand, three hundred and sixty-four?","one trillion, four hundred and twenty-five billion, two hundred and nineteen million, one hundred and eighty-seven thousand, seven hundred and ninety-three"
"What is twenty-nine thousand, three hundred and twenty-one plus eighty-nine thousand, one hundred and eighty-six?","one hundred and eighteen thousand, five hundred and seven"
"What is six hundred and twelve trillion, six hundred and thirty-nine billion, five hundred and forty-eight million, eight hundred and seventy-eight thousand, two hundred and five plus seven hundred and seventy-nine trillion, nine hundred and seventy-five billion, six hundred and twenty-one million, three hundred and forty-eight thousand, nine hundred and ninety-two?","one quadrillion, three hundred and ninety-two trillion, six hundred and fifteen billion, one hundred and seventy million, two hundred and twenty-seven thousand, one hundred and ninety-seven"
"What is eight million, five hundred and sixty-one thousand, nine hundred and thirty-eight plus five million, two hundred and eighty thousand, six hundred and forty-seven?","thirteen million, eight hundred and forty-two thousand, five hundred and eighty-five"
What is sixty-four plus ninety-one?,one hundred and fifty-five
"What is one billion, three hundred and ninety-two million, seven hundred and twenty-six thousand, nine hundred and seventy plus nine billion, nine hundred and ninety-four million, two hundred and thirteen thousand, two hundred and ninety-one?","eleven billion, three hundred and eighty-six million, nine hundred and forty thousand, two hundred and sixty-one"
"What is twenty-four million, six hundred and nine thousand, seven hundred and ninety-five plus ninety-two million, seven hundred and fifteen thousand, two hundred and sixty-seven?","one hundred and seventeen million, three hundred and twenty-five thousand and sixty-two"
"What is seven hundred and sixty-three billion, two hundred and eighty-two million, seven hundred and thirty-seven thousand and twelve plus eight hundred and eight billion, eight hundred and fifty-five million, seven hundred and eighty-four thousand, four hundred and twenty-six?","one trillion, five hundred and seventy-two billion, one hundred and thirty-eight million, five hundred and twenty-one thousand, four hundred and thirty-eight"
"What is four hundred and ninety thousand, three hundred and eighty-two plus nine hundred and forty-five thousand and ninety-five?","one million, four hundred and thirty-five thousand, four hundred and seventy-seven"
"What is sixty-five thousand, two hundred and seventy-four plus thirty-three thousand, four hundred and fifty-three?","ninety-eight thousand, seven hundred and twenty-seven"
What is five hundred and seventy-eight plus two hundred and twenty-six?,eight hundred and four
"What is seventy-six trillion, five hundred and nine billion, seven hundred and twenty-two million, five hundred and thirty-six thousand, three hundred and one plus ninety-nine trillion, nine hundred and thirty-six billion, six hundred and fifty-nine million, one hundred and twenty-five thousand, eight hundred and seventy-six?","one hundred and seventy-six trillion, four hundred and forty-six billion, three hundred and eighty-one million, six hundred and sixty-two thousand, one hundred and seventy-seven"
"What is eight hundred and sixty-one billion, five hundred and fifty-two million, one hundred and seventy-four thousand, nine hundred and seventy-six plus two hundred billion, ninety-one million, one hundred and twenty-eight thousand, eight hundred and ninety-five?","one trillion, sixty-one billion, six hundred and forty-three million, three hundred and three thousand, eight hundred and seventy-one"
"What is seventy-three thousand, eight hundred and ninety-five plus eighty-one thousand, eight hundred and fourteen?","one hundred and fifty-five thousand, seven hundred and nine"
"What is thirty-five thousand, four hundred plus ten thousand, seven hundred and twenty-four?","forty-six thousand, one hundred and twenty-four"
"What is four hundred and fifty-four million, three hundred and seventy-six thousand, eight hundred and twenty-four plus three hundred and thirteen million, six hundred and ninety-nine thousand, six hundred and twenty-four?","seven hundred and sixty-eight million, seventy-six thousand, four hundred and forty-eight"
"What is four billion, five hundred and eighty-four million, four hundred and fifty-one thousand, six hundred and sixty-seven plus three billion, eight hundred and fifty-four million, one hundred and seventy-nine thousand and twenty-two?","eight billion, four hundred and thirty-eight million, six hundred and thirty thousand, six hundred and eighty-nine"
"What is one hundred and eighty-nine billion, nine hundred and thirty-three million, eight hundred and twenty-six thousand, one hundred and fifty-three plus eight hundred and fifty-eight billion, nine hundred and seventy million, nine hundred and ninety-three thousand, six hundred and thirty-nine?","one trillion, forty-eight billion, nine hundred and four million, eight hundred and nineteen thousand, seven hundred and ninety-two"
"What is fifty-nine trillion, seven hundred and ninety-one billion, four hundred and four million, eight hundred and ten thousand, three hundred and forty-four plus fifty-five trillion, five hundred and eighty-nine billion, four hundred and thirty-two million, four hundred and twenty-four thousand, three hundred and twenty-one?","one hundred and fifteen trillion, three hundred and eighty billion, eight hundred and thirty-seven million, two hundred and thirty-four thousand, six hundred and sixty-five"
"What is one hundred and fifty-eight thousand, three hundred and ninety-eight plus nine hundred and twenty thousand, two hundred and ninety-nine?","one million, seventy-eight thousand, six hundred and ninety-seven"
"What is one million, one hundred and forty-one thousand, three hundred and forty-two plus two million, two hundred and ninety-eight thousand and twenty-four?","three million, four hundred and thirty-nine thousand, three hundred and sixty-six"
"What is eighty-four million, five hundred and seventy-seven thousand, eight hundred and sixty-one plus fifty-eight million, four hundred and twenty-nine thousand, three hundred and fourteen?","one hundred and forty-three million, seven thousand, one hundred and seventy-five"
"What is three hundred and forty-one million, thirty-seven thousand, four hundred and sixty-five plus two hundred and ninety-five million, ten thousand, eight hundred and fifty?","six hundred and thirty-six million, forty-eight thousand, three hundred and fifteen"
"What is two hundred and eighty-eight thousand, four hundred and twenty-one plus five hundred and seventy-three thousand, four hundred and ninety-six?","eight hundred and sixty-one thousand, nine hundred and seventeen"
"What is five thousand, seven hundred and twenty plus seven thousand, nine hundred and forty-six?","thirteen thousand, six hundred and sixty-six"
"What is three hundred and seventy-one billion, five hundred and nine million, five hundred and thirty-eight thousand, four hundred and forty-one plus one hundred and twenty-two billion, six hundred and sixty-eight million, ten thousand, three hundred and thirty?","four hundred and ninety-four billion, one hundred and seventy-seven million, five hundred and forty-eight thousand, seven hundred and seventy-one"
"What is eighty-six billion, one hundred and eighty-three million, nine hundred and sixteen thousand, eight hundred and fifty-one plus thirty billion, two hundred and nineteen million, nine hundred and thirty-seven thousand and forty-six?","one hundred and sixteen billion, four hundred and three million, eight hundred and fifty-three thousand, eight hundred and ninety-seven"
"What is twenty trillion, seven hundred and twelve billion, three hundred and forty-seven million, nine hundred and ninety-four thousand, two hundred and sixty-three plus fifty-one trillion, five hundred and thirteen billion, four hundred and eighty-six million, seven hundred and three thousand and sixty-nine?","seventy-two trillion, two hundred and twenty-five billion, eight hundred and thirty-four million, six hundred and ninety-seven thousand, three hundred and thirty-two"
"What is nine hundred and twenty-nine million, six hundred and ninety-nine thousand and sixty-two plus three hundred and eighty-seven million, nine hundred and fifty-three thousand, three hundred and one?","one billion, three hundred and seventeen million, six hundred and fifty-two thousand, three hundred and sixty-three"
What is eighty-six plus twenty-one?,one hundred and seven
"What is nineteen trillion, three hundred and seventy-two billion, six hundred and eighteen million, one hundred and ninety-seven thousand, eight hundred and thirty-four plus twenty-three trillion, forty-six billion, seventy-one million, three hundred and twenty thousand, seven hundred and seventy-seven?","forty-two trillion, four hundred and eighteen billion, six hundred and eighty-nine million, five hundred and eighteen thousand, six hundred and eleven"
"What is seventy-five billion, two hundred and eighty-eight million, one hundred and nineteen thousand, eight hundred and sixty-four plus twenty-eight billion, eight hundred and fifty million, three hundred and sixteen thousand, nine hundred and fifty-one?","one hundred and four billion, one hundred and thirty-eight million, four hundred and thirty-six thousand, eight hundred and fifteen"
"What is sixty-five million, three hundred and fifteen thousand and eighty-seven plus forty-eight million, six hundred and thirty-eight thousand, eight hundred and thirty-six?","one hundred and thirteen million, nine hundred and fifty-three thousand, nine hundred and twenty-three"
"What is three hundred and forty-seven trillion, two hundred and eighty-eight billion, two hundred and seventy-four million, four hundred and nineteen thousand, two hundred and sixty-nine plus seven hundred and fifty-four trillion, seven hundred and seventy-nine billion, six hundred and twenty-two million, four hundred and thirty-seven thousand, four hundred and fifty-seven?","one quadrillion, one hundred and two trillion, sixty-seven billion, eight hundred and ninety-six million, eight hundred and fifty-six thousand, seven hundred and twenty-six"
"What is four thousand, three hundred and forty-four plus eight thousand, eight hundred and eighty-one?","thirteen thousand, two hundred and twenty-five"
"What is thirty-two billion, six hundred and fifteen million, one hundred and twenty-four thousand, seven hundred and sixty-two plus twenty-seven billion, three hundred and forty-two million, five hundred and forty thousand, four hundred and seven?","fifty-nine billion, nine hundred and fifty-seven million, six hundred and sixty-five thousand, one hundred and sixty-nine"
"What is two hundred and fifty-two million, two hundred and fifty thousand, nine hundred and eighty-four plus nine hundred and thirty-two million, two hundred and sixty-four thousand, six hundred and forty-seven?","one billion, one hundred and eighty-four million, five hundred and fifteen thousand, six hundred and thirty-one"
"What is nine hundred and ten trillion, seven hundred and forty-one billion, three hundred and two million, four hundred and forty-four thousand, nine hundred and thirty-one plus five hundred and forty-four trillion, three hundred and eighty-three billion, three hundred and eighty-eight million, seven hundred and forty-two thousand, nine hundred and sixteen?","one quadrillion, four hundred and fifty-five trillion, one hundred and twenty-four billion, six hundred and ninety-one million, one hundred and eighty-seven thousand, eight hundred and forty-seven"
"What is six hundred and sixty-two trillion, eight hundred and sixty-eight billion, three hundred and seventy-four million, two hundred and sixteen thousand, one hundred and ninety plus nine hundred and eleven trillion, nine hundred and ten billion, eight hundred and ninety-nine million, nine hundred and twenty-nine thousand, one hundred and seventy-four?","one quadrillion, five hundred and seventy-four trillion, seven hundred and seventy-nine billion, two hundred and seventy-four million, one hundred and forty-five thousand, three hundred and sixty-four"
"What is four million, six hundred and sixty-six thousand, one hundred and fifty-four plus seven million, five hundred and seventy thousand, seven hundred and thirty-one?","twelve million, two hundred and thirty-six thousand, eight hundred and eighty-five"
"What is sixteen billion, four hundred and eighty-seven million, nine hundred and eighty-nine thousand, six hundred and nineteen plus fifty-three billion, nine hundred and thirty-one million, sixty-five thousand, three hundred and thirty-three?","seventy billion, four hundred and nineteen million, fifty-four thousand, nine hundred and fifty-two"
"What is seventy billion, one hundred and ninety-two million, seven hundred and forty-one thousand, six hundred and seven plus sixteen billion, four hundred and four million, six hundred and seventy-one thousand, two hundred and eleven?","eighty-six billion, five hundred and ninety-seven million, four hundred and twelve thousand, eight hundred and eighteen"
"What is thirty-seven million, eight hundred and three thousand, nine hundred and three plus eighty-five million, three hundred and sixty-one thousand, two hundred and ninety-seven?","one hundred and twenty-three million, one hundred and sixty-five thousand, two hundred"
"What is three billion, four hundred and fifty-one million, nine hundred and eighty-one thousand, six hundred and ninety-eight plus nine billion, nine hundred and six million, seven hundred thousand, eight hundred and thirty-eight?","thirteen billion, three hundred and fifty-eight million, six hundred and eighty-two thousand, five hundred and thirty-six"
"What is two hundred and forty-seven million, eight hundred and twelve thousand, five hundred and sixty-five plus seven hundred and sixty-two million, eight hundred and sixty-six thousand, seven hundred and fifty-one?","one billion, ten million, six hundred and seventy-nine thousand, three hundred and sixteen"
"What is three billion, one hundred and eighty-four million, six hundred and sixty-three thousand and thirty-three plus four billion, two hundred and fifty-two million, four hundred and eight thousand, two hundred and eighty-seven?","seven billion, four hundred and thirty-seven million, seventy-one thousand, three hundred and twenty"
What is eight hundred and nineteen plus two hundred and ninety-four?,"one thousand, one hundred and thirteen"
"What is four hundred and fifty million, seven hundred and six thousand, four hundred and ninety-three plus six hundred and forty-nine million, seven hundred and fifty-one thousand, four hundred and ninety-five?","one billion, one hundred million, four hundred and fifty-seven thousand, nine hundred and eighty-eight"
"What is fifty-nine million, seven hundred and ninety-two thousand, one hundred and ninety-five plus sixty-five million, eight hundred and twelve thousand, two hundred and seventy-eight?","one hundred and twenty-five million, six hundred and four thousand, four hundred and seventy-three"
What is sixty-six plus ninety-nine?,one hundred and sixty-five
"What is seven trillion, two hundred billion, one hundred and sixteen million, two hundred and thirty-five thousand, eight hundred and sixty plus two trillion, seven hundred and forty-four billion, seven hundred and ninety-two million, five hundred and eighty-nine thousand and seventy-five?","nine trillion, nine hundred and forty-four billion, nine hundred and eight million, eight hundred and twenty-four thousand, nine hundred and thirty-five"
"What is forty-two trillion, five hundred and eighteen billion, one hundred and twenty million, seven hundred and eighty-six thousand, two hundred and fifty-nine plus forty-nine trillion, nine hundred and twenty-two billion, forty-four million, five hundred and ten thousand, six hundred and eleven?","ninety-two trillion, four hundred and forty billion, one hundred and sixty-five million, two hundred and ninety-six thousand, eight hundred and seventy"
What is two hundred and six thousand and eighty-two plus six hundred and eighty-four thousand and eighty-nine?,"eight hundred and ninety thousand, one hundred and seventy-one"
"What is sixteen trillion, two hundred and thirty-eight billion, thirty-one million, four hundred and sixty-nine thousand and ninety-six plus sixty-two trillion, one hundred and sixty-eight billion, seven hundred and fifty-five million, five hundred and thirty-six thousand, five hundred and fifty-six?","seventy-eight trillion, four hundred and six billion, seven hundred and eighty-seven million, five thousand, six hundred and fifty-two"
"What is four hundred and twenty-seven million, eight hundred and ninety-seven thousand, two hundred and ninety-four plus five hundred and eighty-one million, eight hundred and sixty thousand, five hundred and twenty-one?","one billion, nine million, seven hundred and fifty-seven thousand, eight hundred and fifteen"
